id,LoanNr_ChkDgt,Name,City,State,Bank,BankState,ApprovalDate,ApprovalFY,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,DisbursementDate,DisbursementGross,BalanceGross,Accept
5273da5475e,6211244005,RESOURCE THERAPY CENTER INC,CHICAGO,IL,JPMORGAN CHASE BANK NATL ASSOC,IL,31-Mar-03,2003,6,2.0,6,0,1,1,Y,N,30-Jun-03,"$200,000.00 ",$0.00 ,0
083324ee631,9400324008,STATE FARM AGENT,CHAMPAIGN,IL,SMALL BUS. GROWTH CORP,IL,8-Dec-05,2006,2,1.0,3,0,77740,1,0,N,13-Sep-06,"$143,000.00 ",$0.00 ,1
358aeeb9b99,5785173006,LADY BRITTANY,CHICAGO,IL,BMO HARRIS BK NATL ASSOC,IL,17-Jul-93,1993,3,2.0,0,0,1,0,N,N,31-Oct-93,"$60,000.00 ",$0.00 ,1
0332be0b0c3,7935714004,WOLTERS GROUP INTERNATIONAL LL,CHICAGO,IL,MERRILL LYNCH BANK USA,UT,14-Oct-04,2005,48,1.0,48,48,1,1,0,N,31-Oct-04,"$500,000.00 ",$0.00 ,1
8a62ac00623,3115944010,"TEAM TRAILER SPECIALISTS, INC.",BRIDGEVIEW,IL,SMALL BUS. GROWTH CORP,IL,11-Aug-99,1999,43,1.0,22,0,1,1,N,N,17-May-00,"$750,000.00 ",$0.00 ,1
05a4ac241cf,3029655006,DEBORAH J HENDERSON,DAHLGREN,IL,"SUPERIOR FINANCIAL GROUP, LLC",CA,1-Apr-08,2008,2,1.0,1,2,0,1,N,N,30-Apr-08,"$5,000.00 ",$0.00 ,0
4947bcf0f5b,2853586009,The Dri-Rite Company,CHICAGO,IL,OLD PLANK TRAIL COMMUN BANK NA,IL,18-Jun-07,2007,1,1.0,0,1,1,1,0,N,30-Nov-07,"$990,703.00 ",$0.00 ,1
14f9b4ef6fc,3139446010,"ROMA ITALIA, INC.",WARRENVILLE,IL,BMO HARRIS BK NATL ASSOC,IL,24-Jan-08,2008,5,2.0,4,1,1,1,0,N,29-Feb-08,"$100,000.00 ",$0.00 ,1
1f2fc45043e,4461145010,"Wali Enterprises, LLC",Springfield,IL,RIDGESTONE BANK,WI,21-Dec-10,2011,113,1.0,0,0,0,1,N,N,1-May-11,"$1,070,000.00 ",$0.00 ,1
30c7a9da673,1256385009,DEE SWINNEY-CANNON DBA DATA SO,NAPERVILLE,IL,CITIZENS BANK NATL ASSOC,RI,5-Apr-05,2005,1,1.0,0,1,1,1,N,N,30-Nov-08,"$24,000.00 ",$0.00 ,1
972d868f7e8,7228723001,ARDEE EQUIPMENT CO.,WHEELING,IL,FIRST MIDWEST BANK,IL,30-Jun-94,1994,3,1.0,0,0,1,0,N,N,31-Oct-94,"$179,466.00 ",$0.00 ,1
46be075eb15,2055735005,ONYX DISTRIBUTION & SERVICES L,CHICAGO,IL,CITIZENS BANK NATL ASSOC,RI,4-Oct-06,2007,4,1.0,0,4,0,1,Y,N,31-Oct-06,"$220,186.00 ",$0.00 ,0
e3757dfb493,2243534005,"RP PETRO, INC.",GURNEE,IL,ASSOCIATED BANK NATL ASSOC,WI,7-Aug-98,1998,7,2.0,0,0,1,0,N,N,30-Nov-98,"$200,000.00 ",$0.00 ,1
a5d68fb7a43,2926644002,CHICAGO BUILDERS SUPPLY INC.,CHICAGO,IL,"SOMERCOR 504, INC.",IL,5-May-99,1999,30,1.0,12,0,1,0,N,N,15-Mar-00,"$311,000.00 ",$0.00 ,1
a6a8d7a276e,5697174002,HAROLD'S CHICKEN SHACK,AURORA,IL,SHOREBANK,IL,17-Sep-02,2002,3,2.0,0,0,1,1,0,Y,31-Oct-02,"$99,935.00 ",$0.00 ,0
5c309db1009,4242954010,FIVE STAR AUTO REPAIR,WOODSTOCK,IL,BMO HARRIS BK NATL ASSOC,IL,25-Jan-01,2001,2,1.0,0,2,1,1,0,N,28-Feb-01,"$69,000.00 ",$0.00 ,1
6b726630308,8754543000,"FAMILY GATHERING, THE",HARVARD,IL,THE HARVARD STATE BANK,IL,31-Oct-95,1996,3,2.0,0,0,1,0,N,Y,31-Jan-96,"$35,000.00 ",$0.00 ,1
1175d7626d8,4732134003,"TIRE MANAGEMENT, INC.",AURORA,IL,"SOMERCOR 504, INC.",IL,27-Jul-01,2001,37,1.0,5,0,1,1,N,N,16-Jan-02,"$166,000.00 ",$0.00 ,1
dab83c8eb7b,5411504000,3 DIK INC,JOLIET,IL,U.S. BANK NATIONAL ASSOCIATION,OH,21-May-02,2002,8,1.0,1,7,1,1,0,N,30-Jun-02,"$325,000.00 ",$0.00 ,0
f7600e9188b,9444313000,HOMETOWN SPORTS,GRANITE CITY,IL,U.S. BANK NATIONAL ASSOCIATION,IL,8-Aug-96,1996,2,2.0,0,0,1,0,N,Y,30-Nov-96,"$75,000.00 ",$0.00 ,1
e89a1bd3277,8499613010,IVY HILL FLOWERS & GIFTS,CHICAGO,IL,WELLS FARGO BANK NATL ASSOC,SD,12-Jul-95,1995,3,1.0,0,0,1,0,0,N,31-Jan-96,"$140,000.00 ",$0.00 ,1
f46e573e6a4,4295093009,DEVIL'S KITCHEN BOAT DOCK,CARBONDALE,IL,THE BANK OF CARBONDALE,IL,2-Nov-90,1991,3,1.0,0,0,1,0,N,N,31-Jan-91,"$100,000.00 ",$0.00 ,1
fb6b791832b,1433844000,WOODY'S STEAK HOUSE,OTTAWA,IL,CENTRUE BANK,IL,24-Jul-97,1997,20,2.0,0,0,1,0,N,N,30-Sep-97,"$227,000.00 ",$0.00 ,1
475b759a5ae,2506555010,"Midwest Specialty Metals, Inc.",Hickory Hills,IL,FIFTH THIRD BANK,OH,11-Jun-07,2007,3,1.0,1,0,0,1,N,N,30-Jun-07,"$130,400.00 ",$0.00 ,1
45f63348151,2111395005,"Power & Dixon, P.C.",CHICAGO,IL,JPMORGAN CHASE BANK NATL ASSOC,IL,7-Nov-06,2007,6,1.0,0,6,0,1,T,N,30-Nov-06,"$61,760.00 ",$0.00 ,0
37fe97f20e0,4579685003,Crisp- N-Clean of Palatine Inc,Palatine,IL,RIDGESTONE BANK,WI,11-Mar-11,2011,12,1.0,0,0,0,1,N,N,1-Apr-11,"$355,000.00 ",$0.00 ,1
aa7d6c451ee,1414205008,ARMOR INSURANCE & FINANCIAL SE,ROUND LAKE,IL,CITIZENS BANK NATL ASSOC,RI,15-Aug-05,2005,3,1.0,1,4,0,1,Y,N,31-Oct-05,"$96,304.00 ",$0.00 ,0
f6bc852d119,1084196010,"CONCRETE SUPPLY OF TOLONO, INC",TOLONO,IL,BUSEY BANK,IL,21-Feb-06,2006,5,1.0,0,0,1,1,N,N,28-Feb-06,"$290,000.00 ",$0.00 ,1
03246d9553a,9478213003,"ROUND GROUND, INC.",HANOVER PARK,IL,SMALL BUS. GROWTH CORP,IL,22-Aug-96,1996,30,1.0,30,0,1,0,N,N,17-Dec-97,"$1,000,000.00 ",$0.00 ,1
0d2ad409790,8375513002,"LUERS JUNIOR SHOES, INC.",SPRINGFIELD,IL,TOWN AND COUNTRY BANK,IL,30-May-95,1995,28,1.0,0,0,1,0,N,Y,31-Oct-95,"$50,000.00 ",$0.00 ,1
a7480251c74,4979385006,Jason & Amy Doerr,Murphysboro,IL,SIU CU,IL,2-Dec-11,2012,1,2.0,1,1,0,2,N,N,2-Dec-11,"$150,000.00 ",$0.00 ,1
43f883cad98,3273606000,ABRAM D COBB DBA ABE'S HIDEAWA,POSEN,IL,SMALL BUS. GROWTH CORP,IL,5-Jun-08,2008,4,1.0,0,1,1,1,0,N,15-Apr-09,"$136,000.00 ",$0.00 ,1
0fd68e58698,1046405004,Newpaper Subscription Services,Chicago,IL,"PNC BANK, NATIONAL ASSOCIATION",IL,24-Aug-04,2004,3,1.0,0,0,1,1,Y,N,30-Sep-04,"$99,490.00 ",$0.00 ,1
b9df47b31ee,2802676001,PROGRESSIVE TECHNOLOGY SOLUTIO,CARY,IL,FIRST MIDWEST BANK,IL,18-May-07,2007,3,1.0,3,3,1,1,0,N,31-Jul-07,"$15,000.00 ",$0.00 ,1
f588c657a85,1662025001,Forest City Header Die & Machi,Rockford,IL,BMO HARRIS BK NATL ASSOC,IL,14-Feb-06,2006,1,1.0,0,1,0,1,N,N,28-Feb-06,"$16,000.00 ",$0.00 ,1
9f7f649397d,2058545002,Tax Merchant Incorporated dba,SKOKIE,IL,BANK OF AMERICA NATL ASSOC,NC,6-Oct-06,2007,6,1.0,0,6,0,1,N,N,31-Oct-06,"$36,000.00 ",$0.00 ,0
1c1ec4eaeef,5374043008,TRADE MARK COFFEE CORPORATION,BARRINGTON,IL,LOANS FROM OLD CLOSED LENDERS,DC,7-Dec-92,1993,22,1.0,0,0,1,0,N,N,31-Jan-93,"$800,000.00 ",$0.00 ,1
e48552d6982,4147904008,HACKNEY'S PRINTERS ROW,CHICAGO,IL,"SOMERCOR 504, INC.",IL,26-Dec-00,2001,15,1.0,15,0,1,1,N,N,12-Dec-01,"$311,000.00 ",$0.00 ,1
a23aada4aad,6058354006,APPLE TREE CLEANERS,SHOREWOOD,IL,BBCN BANK,CA,29-Jan-03,2003,2,1.0,0,2,1,1,0,N,28-Feb-03,"$70,000.00 ",$0.00 ,1
4a6625753dd,4668934001,LUCKY 7 FOODS INC,CHICAGO,IL,U.S. BANK NATIONAL ASSOCIATION,OH,13-Jul-01,2001,5,1.0,0,5,1,1,0,N,30-Sep-01,"$339,000.00 ",$0.00 ,1
b26eee1afdc,8816194005,"REMEMBERING WHEN SCRAPBOOKING,",ANTIOCH,IL,STATE BANK OF THE LAKES,IL,26-Apr-05,2005,2,1.0,0,0,1,1,0,Y,31-May-05,"$80,000.00 ",$0.00 ,1
7be8682dcd6,1351865009,"PRAYOSHA-1, INC. DBA PIK KWIK",ALSIP,IL,CITIZENS BANK NATL ASSOC,RI,24-Jun-05,2005,3,1.0,1,4,0,1,N,N,31-Jul-05,"$100,000.00 ",$0.00 ,1
14d9726b073,1594715004,ESP T-Shirt Company,WARRENVILLE,IL,JPMORGAN CHASE BANK NATL ASSOC,IL,27-Dec-05,2006,3,1.0,0,0,0,2,T,N,28-Feb-06,"$119,584.00 ",$0.00 ,0
cf0b42c10c9,4638884009,"INNOSYS COMMUNICATIONS, INC.",HINSDALE,IL,FIFTH THIRD BANK,IL,6-Jul-01,2001,4,1.0,0,0,1,1,Y,N,31-Oct-01,"$455,000.00 ",$0.00 ,1
e3e2c06b18b,3048495001,Mutual Financial Corporation,PARK RIDGE,IL,JPMORGAN CHASE BANK NATL ASSOC,IL,15-Apr-08,2008,5,1.0,0,5,0,1,Y,N,30-Apr-08,"$99,750.00 ",$0.00 ,1
829b5f44d81,8176663009,DREADNAUGHT PROPERTIES AND NEW,BELLWOOD,IL,SMALL BUS. GROWTH CORP,IL,4-Dec-95,1996,122,1.0,22,0,1,0,N,N,13-Dec-95,"$620,000.00 ",$0.00 ,1
2074f373c4d,4587165000,"Just 4 Kicks, Inc.",BLOOMINGTON,IL,HEARTLAND BK & TR CO,IL,16-Mar-11,2011,2,1.0,0,2,0,1,N,S,16-Mar-11,"$30,000.00 ",$0.00 ,1
c5ebe8244bc,6927744008,"ENVISION GRAPHICS, LLC.",BLOOMINGDALE,IL,"SOMERCOR 504, INC.",IL,17-Nov-03,2004,54,1.0,10,0,1,1,N,N,13-Apr-05,"$1,299,000.00 ",$0.00 ,1
5086c413ebc,1357335004,"Daeko Enterprises, Inc.",NAPERVILLE,IL,JPMORGAN CHASE BANK NATL ASSOC,IL,30-Jun-05,2005,7,2.0,0,7,29600,1,N,N,31-Jul-05,"$55,700.00 ",$0.00 ,0
18579f2f54e,2939495000,"Pierce, Marcia K.",Loves Park,IL,"PNC BANK, NATIONAL ASSOCIATION",DE,5-Feb-08,2008,3,2.0,0,3,0,2,N,N,29-Feb-08,"$38,600.00 ",$0.00 ,0
a9d48d4e811,4783813010,REGENCY CHIROPRACTIC HEALTH CT,PALATINE,IL,INLAND BANK & TRUST,IL,3-Apr-92,1992,4,2.0,0,0,1,0,N,N,31-Jul-92,"$47,000.00 ",$0.00 ,1
70a594882ef,9453833005,"CREATIVE TRAVEL CENTER, INC.",GRANITE CITY,IL,THE BANK OF EDWARDSVILLE,IL,13-Aug-96,1996,9,1.0,0,0,1,0,N,Y,31-Mar-97,"$100,000.00 ",$0.00 ,1
9f6199bf123,2312565004,CORNERSTONE EXTERIORS INC,GLENCOE,IL,JPMORGAN CHASE BANK NATL ASSOC,IL,5-Mar-07,2007,3,2.0,0,3,0,1,Y,N,31-Mar-07,"$734,675.00 ",$0.00 ,0
52d274aadd7,4839225002,"SMG SECURITY SYSTEMS, INC.",ELK GROVE VILLAGE,IL,FIRST AMERICAN BANK,IL,25-Aug-11,2011,60,1.0,0,0,0,1,Y,N,25-Aug-11,"$200,000.00 ",$0.00 ,1
3c5ad50d0b3,6938004004,"TERRACE SALON & SPA, INC. THE",GODFREY,IL,FIRST CLOVER LEAF BANK,IL,19-Nov-03,2004,11,2.0,0,0,1,2,0,Y,29-Feb-04,"$70,000.00 ",$0.00 ,1
347484b7c03,6311774008,FORT PITT LLC,CHICAGO,IL,"WACHOVIA SBA LENDING, INC.",CA,12-May-03,2003,25,2.0,0,25,1,1,0,N,31-May-03,"$1,160,000.00 ",$0.00 ,1
0c7a1eb7c06,7512083007,"LAWRENCE GRAPHICS, INC.",TUSCOLA,IL,FIRST MID-ILLINOIS BK & TRUST,IL,25-Aug-94,1994,1,1.0,0,0,1,0,N,Y,31-Oct-94,"$35,000.00 ",$0.00 ,1
2ac8e61dc57,2476585006,Morris Media Inc dba Video Med,GALESBURG,IL,FIRST MID-ILLINOIS BK & TRUST,IL,24-May-07,2007,1,1.0,1,1,0,1,N,N,31-May-07,"$20,000.00 ",$0.00 ,1
59097d473e5,2584075003,"D & L Enterprisess, Inc.",CHICAGO,IL,INNOVATIVE BANK,CA,19-Jul-07,2007,2,2.0,2,2,0,1,N,N,31-Jul-07,"$10,000.00 ",$0.00 ,1
0af1c797e6e,1728885005,MOHAMMED A. AZEEM DBA INDIAN J,CHICAGO,IL,CITIZENS BANK NATL ASSOC,RI,23-Mar-06,2006,3,1.0,1,4,0,1,N,N,31-Jul-06,"$5,000.00 ",$0.00 ,0
a27d963a8b4,4676345008,"Jackson Avenue Subs, Inc. Iqba",Chicago,IL,RIDGESTONE BANK,WI,9-May-11,2011,0,1.0,0,0,0,1,N,N,9-May-11,"$85,000.00 ",$0.00 ,1
e4bf8daeb30,5595644000,"AROUND THE HORN, INC",SCHAUMBURG,IL,NORSTATES BANK,IL,7-Aug-02,2002,3,2.0,0,0,1,1,0,Y,31-Oct-02,"$150,000.00 ",$0.00 ,1
36688522d2d,1890685002,"Stage It, Inc.",Hoffman Estates,IL,"PNC BANK, NATIONAL ASSOCIATION",DE,23-Jun-06,2006,2,1.0,0,2,0,1,N,N,31-Aug-06,"$48,341.00 ",$0.00 ,0
04001cd83fb,7177994007,153 CLEANERS,LISLE,IL,BBCN BANK,IL,11-Feb-04,2004,2,1.0,0,2,1,1,0,N,31-Mar-04,"$135,000.00 ",$0.00 ,0
99cff78373f,5966173005,ELGIN CLEANERS,ELGIN,IL,BBCN BANK,IL,27-Sep-93,1993,4,2.0,0,0,1,0,N,N,31-Oct-93,"$85,000.00 ",$0.00 ,1
e795cfc3656,2237396007,TWISTED VINE FLORIST,CHILLICOTHE,IL,BBCN BANK,CA,17-Jul-06,2006,1,2.0,0,1,1,1,0,N,31-Jul-06,"$10,000.00 ",$0.00 ,1
84904c613f3,7646524010,BRAMWELL'S INSURANCE & FINANCI,CHICAGO,IL,BBCN BANK,CA,28-Jul-04,2004,2,1.0,1,2,1,1,0,N,31-Jul-04,"$5,000.00 ",$0.00 ,0
4b46b7cc16d,7765344007,SMILING FACES CHILD CARE INC,PHOENIX,IL,BANK OF AMERICA NATL ASSOC,NC,3-Sep-04,2004,3,2.0,0,3,1,1,0,N,30-Nov-04,"$50,000.00 ",$0.00 ,1
65a5cb53bf1,2557796008,"KARESH MIRROR & GLASS, INC.",WOODRIDGE,IL,"FIRSTMERIT BANK, N.A.",IL,1-Dec-06,2007,7,1.0,0,0,1,1,N,N,31-Jul-07,"$55,000.00 ",$0.00 ,1
d35bfd4958a,4402514007,FLEET PARTS CORP.,SCHAUMBURG,IL,"BANKFINANCIAL, FSB",IL,28-Mar-01,2001,2,1.0,0,0,1,1,0,Y,30-Apr-01,"$40,000.00 ",$0.00 ,1
3c18896e610,2795206001,"In & Out Drive Thru Food Mart,",CHICAGO,IL,"CITIBANK, N.A.",SD,14-May-07,2007,3,1.0,0,3,1,1,Y,N,31-Aug-07,"$239,767.00 ",$0.00 ,0
88f3b5e3e4d,5224684002,ARMANI INTERIORS INCORPORATED,CHIAGO,IL,SMALL BUS. GROWTH CORP,IL,20-Feb-02,2002,10,1.0,4,0,1,1,N,N,10-Jul-02,"$126,000.00 ",$0.00 ,1
1be43f099aa,4745845010,Primus Natural Stone Inc,ROMEOVILLE,IL,U.S. BANK NATIONAL ASSOCIATION,OH,24-Jun-11,2011,7,2.0,2,9,0,1,Y,N,1-Sep-11,"$115,000.00 ",$0.00 ,1
f361cf0cff8,5084594007,ZOILA'S HAIR SALON,MELROSE PARK,IL,URBAN PARTNERSHIP BANK,IL,5-Dec-01,2002,5,2.0,0,0,1,1,N,Y,31-Mar-02,"$144,949.00 ",$0.00 ,1
83a6f1cf93b,2179585010,"Mongolian House, Inc",CHICAGO,IL,JPMORGAN CHASE BANK NATL ASSOC,IL,15-Dec-06,2007,2,1.0,15,30,0,1,N,N,31-Dec-06,"$100,000.00 ",$0.00 ,0
7c0268ab300,9583793004,AMERICAN TECHNOLOGY EXCHANGE,WAUCONDA,IL,JPMORGAN CHASE BANK NATL ASSOC,IL,27-Sep-96,1996,1,1.0,0,0,1,0,Y,N,31-Jan-97,"$250,000.00 ",$0.00 ,1
ceab8b9721b,8009533008,"AL KLEINPASTE MASONRY, INC.",ORLAND PARK,IL,GREAT LAKES BANK NATL ASSOC,IL,24-Jan-95,1995,20,1.0,0,0,1,0,N,Y,30-Apr-95,"$100,000.00 ",$0.00 ,1
13b6261d718,8821463001,"SWIMMING POOL MGMT SYSTEMS,INC",WOODRIDGE,IL,WELLS FARGO BANK NATL ASSOC,SD,22-Nov-95,1996,9,1.0,0,0,1,0,0,N,30-Sep-96,"$112,000.00 ",$0.00 ,1
ff52b4ade4a,2226925009,"ALEX TRANSPORT, INC.",CREST HILL,IL,CITIZENS BANK NATL ASSOC,RI,18-Jan-07,2007,2,1.0,0,2,0,1,N,N,31-Jan-07,"$40,000.00 ",$0.00 ,1
568653c3cad,1608545003,"D.A.S. Consulting Services, LL",SPRINGFIELD,IL,JPMORGAN CHASE BANK NATL ASSOC,IL,9-Jan-06,2006,1,2.0,1,1,0,1,Y,N,28-Feb-06,"$95,779.00 ",$0.00 ,1
a33a5de8fa7,2225225009,"SYSTEMATIKA, INC.",ADDISON,IL,CITIZENS BANK NATL ASSOC,RI,17-Jan-07,2007,1,1.0,1,2,0,1,N,N,31-Jan-07,"$10,000.00 ",$0.00 ,1
efc93333aed,4150434010,FAB WERKS INC,JOLIET,IL,U.S. BANK NATIONAL ASSOCIATION,OH,21-Dec-00,2001,3,1.0,0,3,1,1,0,N,28-Feb-01,"$228,000.00 ",$0.00 ,1
59317bac430,2197266008,KIM GA NE,MOUNT PROSPECT,IL,BBCN BANK,IL,30-Jun-06,2006,2,1.0,0,2,1,1,0,N,31-Aug-06,"$60,000.00 ",$0.00 ,0
f4d36411640,1634125010,"Krancher, Inc.",Peoria,IL,"PNC BANK, NATIONAL ASSOCIATION",IL,27-Jan-06,2006,2,1.0,25,2,0,1,Y,N,28-Feb-06,"$64,612.00 ",$0.00 ,1
bbedcf8e9f9,2831874009,"AREA CONSTRUCTION TRADES, INC.",AURORA,IL,"SOMERCOR 504, INC.",IL,12-Mar-99,1999,51,1.0,11,0,1,0,N,N,15-Mar-00,"$385,000.00 ",$0.00 ,1
01f583961ce,2396784000,JAVA JOES GOURMET COFFEE & TEA,SYCAMORE,IL,BMO HARRIS BK NATL ASSOC,IL,19-Oct-98,1999,4,2.0,0,0,1,0,0,N,28-Feb-99,"$45,000.00 ",$0.00 ,1
f965d984c17,4985294003,DAYSTAR COMPUTER SYSTEMS INC,CHICAGO,IL,SOUTH CENT. BANK NATL ASSOC,IL,16-Oct-01,2002,14,1.0,3,1,1,1,0,N,31-Dec-01,"$420,000.00 ",$0.00 ,1
36d093d2c75,1249765007,"GATO ENTERPRISES, INC.",CHICAGO,IL,CAPITAL ONE NATL ASSOC,VA,29-Mar-05,2005,3,1.0,0,3,1,1,N,N,30-Apr-05,"$25,000.00 ",$0.00 ,1
42f1ea40cd1,5299644006,COVER THE WORLD IMPORT&EXPORT,BENSENVILLE,IL,BBCN BANK,IL,27-Mar-02,2002,2,1.0,0,0,1,1,T,N,31-May-02,"$350,000.00 ",$0.00 ,1
e48fb48b958,2099125001,"Big Top & Party Rentals, LLC",GURNEE,IL,JPMORGAN CHASE BANK NATL ASSOC,IL,31-Oct-06,2007,5,1.0,0,5,0,1,Y,N,30-Nov-06,"$61,512.00 ",$0.00 ,1
91fcf193bf4,3964495007,Charlene R Harris,EVANSTON,IL,JPMORGAN CHASE BANK NATL ASSOC,IL,13-Mar-10,2010,1,2.0,1,2,0,1,N,N,13-Mar-10,"$20,000.00 ",$0.00 ,1
1b4c31a26dc,5508694007,EXPRESS PATTERN INC.,BUFFALO GROVE,IL,AMERICAN ENTERPRISE BANK,IL,15-Jul-02,2002,9,2.0,0,0,1,1,N,N,31-Aug-02,"$1,070,223.00 ",$0.00 ,1
a35867383e7,7194294000,MMA WAREHOUSE.COM,GLENDALE HEIGHTS,IL,JPMORGAN CHASE BANK NATL ASSOC,IL,18-Feb-04,2004,2,2.0,0,2,1,1,Y,N,31-Mar-04,"$24,500.00 ",$0.00 ,1
91482d6d077,9366254006,HIGGS PHONICS CORPORATION,OAK PARK,IL,BBCN BANK,CA,2-Dec-05,2006,1,1.0,1,1,1,1,0,N,31-Dec-05,"$10,000.00 ",$0.00 ,0
6e21b65a585,3198855008,KHANO AUTOMOTIVE LLC,DES PLAINES,IL,CITIZENS BANK NATL ASSOC,RI,27-Aug-08,2008,3,2.0,1,3,0,1,Y,N,30-Sep-08,"$90,599.00 ",$0.00 ,0
cf1e58d9c43,2602225005,"K & K Detection Services, Inc.",Marseilles,IL,BMO HARRIS BK NATL ASSOC,IL,27-Jul-07,2007,1,2.0,1,1,0,2,N,N,30-Sep-07,"$15,000.00 ",$0.00 ,1
30654e31311,3072635006,THE GALILEO IDEA GROUP INC.,NAPERVILLE,IL,JPMORGAN CHASE BANK NATL ASSOC,IL,30-Apr-08,2008,1,1.0,0,1,0,1,Y,N,31-May-08,"$81,352.00 ",$0.00 ,0
9fd0e3dd9c1,2128035009,"LEVATEC ELEVATOR TECHNOLOGIES,",CHICAGO,IL,CAPITAL ONE NATL ASSOC,VA,16-Nov-06,2007,2,1.0,0,2,0,1,N,N,31-Dec-06,"$50,000.00 ",$0.00 ,0
1bf5f7ac60a,4601413008,"THE MUSIC SHOPPE, INC.",NORMAL,IL,REGIONS BANK,IL,4-Oct-91,1992,21,1.0,0,0,1,0,N,N,31-Oct-91,"$560,000.00 ",$0.00 ,1
49a9b4acb9c,1251785001,Andronitoons,CHICAGO,IL,JPMORGAN CHASE BANK NATL ASSOC,IL,31-Mar-05,2005,1,1.0,0,1,1,1,Y,N,30-Apr-05,"$31,602.00 ",$0.00 ,1
c93e4ed5520,9807083003,"AL'S AUTO BODY EXPERTS, INC.",DOLTON,IL,URBAN PARTNERSHIP BANK,IL,3-Dec-96,1997,15,1.0,0,0,1,0,N,N,30-Sep-98,"$435,000.00 ",$0.00 ,1
04ebf0faced,4372124006,NIFA MANAGEMENT INC,DEKALB,IL,FIFTH THIRD BANK,OH,14-Mar-01,2001,3,1.0,0,3,1,1,0,N,31-May-01,"$526,000.00 ",$0.00 ,1
49235966748,4520834010,BUSY BEE NURSERY CRESTWOOD,CRESTWOOD,IL,"SOMERCOR 504, INC.",IL,17-May-01,2001,12,1.0,4,0,1,1,N,N,17-Oct-01,"$577,000.00 ",$0.00 ,1
62e19146def,5167904010,"JACKSON STREET AVENUE, LLC",CHARLESTON,IL,FIRST MID-ILLINOIS BK & TRUST,IL,22-Jan-02,2002,5,2.0,0,0,1,1,0,Y,31-Mar-02,"$32,000.00 ",$0.00 ,1
ea61ad4b30d,4277323002,"SOSI, INC.",MT. CARMEL,IL,OLD NATIONAL BANK,IN,15-Oct-90,1991,6,2.0,0,0,78760,0,N,N,30-Apr-91,"$30,000.00 ",$0.00 ,1
a1c270c49a0,1372466002,PROVISION EYECARE,MOUNT VERNON,IL,"READYCAP LENDING, LLC",CA,16-Mar-06,2006,8,1.0,1,7,1,1,0,N,31-Mar-06,"$790,000.00 ",$0.00 ,1
